Unnamed: 0,Organization Full Name,Organization Class,Responsible Party,Brief Title,Full Title,Overall Status_ph2,Start Date,Standard Age,Conditions,Primary Purpose,Interventions,Intervention Description,Study Type,Phases,Outcome Measure,Medical Subject Headings,Phases_clean,Interventions_clean,Overall Status_ph3,label_success
132991,"University of Alberta, Physical Education",OTHER,SPONSOR,Resistance Exercise Training for the Shoulder and Neck Following Surgery for Head and Neck Cancer,Randomized Controlled Trial of Progressive Resistance Exercise Training for Spinal Accessory Neurapraxia/ Neurectomy in Head and Neck Cancer Survivors,COMPLETED,2005-09,ADULT OLDER_ADULT,Head and Neck Neoplasms,TREATMENT,Exercise,Unknown,INTERVENTIONAL,"PHASE2, PHASE3","Pain and dysfunction (baseline, 12 weeks, 6 months, 12 months) Active and passive range of motion (baseline, 12 weeks) Muscular strength and endurance (baseline, 12 weeks) Quality of life (baseline, 12 weeks, 6 months, 12 months)",Head and Neck Neoplasms,"PHASE2, PHASE3",exercise,COMPLETED,1
132991,"University of Alberta, Physical Education",OTHER,SPONSOR,Resistance Exercise Training for the Shoulder and Neck Following Surgery for Head and Neck Cancer,Randomized Controlled Trial of Progressive Resistance Exercise Training for Spinal Accessory Neurapraxia/ Neurectomy in Head and Neck Cancer Survivors,COMPLETED,2005-09,ADULT OLDER_ADULT,Head and Neck Neoplasms,TREATMENT,Exercise,Unknown,INTERVENTIONAL,"PHASE2, PHASE3","Pain and dysfunction (baseline, 12 weeks, 6 months, 12 months) Active and passive range of motion (baseline, 12 weeks) Muscular strength and endurance (baseline, 12 weeks) Quality of life (baseline, 12 weeks, 6 months, 12 months)",Head and Neck Neoplasms,"PHASE2, PHASE3",exercise,COMPLETED,1
132991,"University of Alberta, Physical Education",OTHER,SPONSOR,Resistance Exercise Training for the Shoulder and Neck Following Surgery for Head and Neck Cancer,Randomized Controlled Trial of Progressive Resistance Exercise Training for Spinal Accessory Neurapraxia/ Neurectomy in Head and Neck Cancer Survivors,COMPLETED,2005-09,ADULT OLDER_ADULT,Head and Neck Neoplasms,TREATMENT,Exercise,Unknown,INTERVENTIONAL,"PHASE2, PHASE3","Pain and dysfunction (baseline, 12 weeks, 6 months, 12 months) Active and passive range of motion (baseline, 12 weeks) Muscular strength and endurance (baseline, 12 weeks) Quality of life (baseline, 12 weeks, 6 months, 12 months)",Head and Neck Neoplasms,"PHASE2, PHASE3",exercise,COMPLETED,1
133340,University of Arkansas,OTHER,SPONSOR,Pomalidomide in Gene Expression Profiling (GEP)-Defined High-risk Multiple Myeloma,Phase II Trial of Pomalidomide in GEP-defined High-risk Multiple Myeloma That is Relapsing or Refractory to Prior Therapy,COMPLETED,2011-10,ADULT OLDER_ADULT,Multiple Myeloma,TREATMENT,Pomalidomide,"Only enough CC-4047 for 1 cycle of therapy may be provided to the patient each cycle. Participants will receive CC-4047 4 mg/day for 21 days, every 28 days. Treatment will continue until disease recurrence or untoward toxicity.",INTERVENTIONAL,PHASE2,Progression-free Survival (PFS) After Initiation of Pomalidomide Therapy,"Multiple Myeloma Neoplasms, Plasma Cell",PHASE2,pomalidomide,COMPLETED,1
133432,M.D. Anderson Cancer Center,OTHER,SPONSOR,Phase II Trial of Nivolumab Plus Ipilimumab in Patients With Renal Medullary Carcinoma,Phase II Trial of Nivolumab Plus Ipilimumab in Patients With Renal Medullary Carcinoma,ACTIVE_NOT_RECRUITING,2017-12-13,ADULT OLDER_ADULT,"Kidney Medullary Carcinoma, Loss of INI 1 Protein Expression, Stage III Renal Cell Cancer AJCC v8, Stage IV Renal Cell Cancer AJCC v8",TREATMENT,"Ipilimumab, Nivolumab","Given IV, Given IV",INTERVENTIONAL,PHASE2,Objective response rate (ORR) defined as completion response or partial response assessed by Response Evaluation Criteria in Solid Tumors (RECIST) criteria Progression-free survival (PFS) assessed by RECIST criteria,"Carcinoma Carcinoma, Renal Cell Carcinoma, Medullary Thyroid Neoplasms Carcinoma, Neuroendocrine",PHASE2,"ipilimumab, nivolumab",ACTIVE_NOT_RECRUITING,0
134287,Universidad de León,OTHER,PRINCIPAL_INVESTIGATOR,Analysis of the Effectiveness of Neoadjuvant Chemotherapy in the Treatment of Colon Cancer Locally Advanced (ELECLA),Analysis of the Effectiveness of Neoadjuvant Chemotherapy in the Treatment of Colon Cancer Locally Advanced,UNKNOWN,2017-03-10,ADULT OLDER_ADULT,Locally Advanced Colon Cancer,TREATMENT,CAPECITABINE AND OXALIPLATIN,Intervention Group: Neoadjuvant chemotherapy ( 3 cycles Capecitabine and oxaliplatin) + surgery + adjuvant chemotherapy (5 cycles Capecitabine and oxaliplatin),INTERVENTIONAL,PHASE2,Disease-free survival (SLE) at 2 years,Colonic Neoplasms,PHASE2,capecitabine and oxaliplatin,UNKNOWN,0
134344,Fudan University,OTHER,PRINCIPAL_INVESTIGATOR,Letrozole as Maintenance Therapy for Post-surgical Endometrial Cancer Patients With NSMP,Letrozole as Maintenance Therapy Versus Observation After Adjuvant Treatment on the Prognosis for Post-surgical Endometrial Cancer Patients With Non-specific Molecular Profile: a Superiority Randomized Controlled Trial,RECRUITING,2022-08-02,ADULT OLDER_ADULT,Endometrial Cancer,TREATMENT,Letrozole 2.5mg,Letrozole 0.5mg qd po for 2 years after postoperative adjuvant therapy,INTERVENTIONAL,"PHASE2, PHASE3",the 3-year Progression-Free-Survival(PFS),Endometrial Neoplasms,"PHASE2, PHASE3",letrozole 2.5mg,RECRUITING,0
134355,McGill University Health Centre/Research Institute of the McGill University Health Centre,OTHER,SPONSOR_INVESTIGATOR,Neoadjuvant Chemotherapy and Transoral Robotic Surgery for Oropharyngeal Cancer.,Phase II Study: Induction Chemotherapy Followed by Transoral Robotic Surgery and Neck Dissection for Definitive Management of Oropharyngeal Squamous Cell Carcinoma. (NECTORS Trial),RECRUITING,2018-08-14,ADULT OLDER_ADULT,"Oropharynx Cancer, Tonsil Cancer, Throat Cancer, Base of the Tongue Carcinoma",TREATMENT,Docetaxel,"Subjects will be treated with neoadjuvant docetaxel and cisplatin for 3 cycles. This is followed by transoral robotic surgery (TORS) and neck dissection as definitive treatment, reserving radiotherapy for salvage.",INTERVENTIONAL,PHASE2,Primary outcome: progression free survival.,Carcinoma Oropharyngeal Neoplasms Tonsillar Neoplasms,PHASE2,docetaxel,UNKNOWN,0
134559,Hellenic Oncology Research Group,OTHER,Unknown,Erlotinib as 1st Line Treatment in NSCLC Stage IIIB/IV,"ERLOTINIB, A TYROSINE KINASE INHIBITOR OF EPIDERMAL GROWTH FACTOR RECEPTOR (EGFR) AS FIRST LINE TREATMENT, IN PATIENTS WITH LOCALLY ADVANCED/METASTATIC NON SMALL CELL LUNG CANCER (NSCLC). A PHASE II STUDY",COMPLETED,2006-10,ADULT OLDER_ADULT,Non Small Cell Lung Cancer,TREATMENT,Erlotinib,Erlotinib at the dose of 150 mg orally once a day continually until progression,INTERVENTIONAL,PHASE2,Overall Response Rate,"Lung Neoplasms Carcinoma, Non-Small-Cell Lung",PHASE2,erlotinib,COMPLETED,1
134559,Hellenic Oncology Research Group,OTHER,Unknown,Erlotinib as 1st Line Treatment in NSCLC Stage IIIB/IV,"ERLOTINIB, A TYROSINE KINASE INHIBITOR OF EPIDERMAL GROWTH FACTOR RECEPTOR (EGFR) AS FIRST LINE TREATMENT, IN PATIENTS WITH LOCALLY ADVANCED/METASTATIC NON SMALL CELL LUNG CANCER (NSCLC). A PHASE II STUDY",COMPLETED,2006-10,ADULT OLDER_ADULT,Non Small Cell Lung Cancer,TREATMENT,Erlotinib,Erlotinib at the dose of 150 mg orally once a day continually until progression,INTERVENTIONAL,PHASE2,Overall Response Rate,"Lung Neoplasms Carcinoma, Non-Small-Cell Lung",PHASE2,erlotinib,TERMINATED,0
134639,Spanish Oncology Genito-Urinary Group,OTHER,SPONSOR,Olaparib Maintenance in Patients With MCRPC After Docetaxel Treatment Reaching Partial or Stable Response (IMANOL),Phase II Trial Evaluating Olaparib Maintenance in Patients With MCRPC After Docetaxel Treatment Reaching Partial or Stable Response.,COMPLETED,2018-02-06,ADULT OLDER_ADULT,Prostate Cancer Metastatic,TREATMENT,Olaparib,300 mg twice a day,INTERVENTIONAL,PHASE2,Radiographic progression free survival (rPFS),Prostatic Neoplasms,PHASE2,olaparib,COMPLETED,1
134639,Spanish Oncology Genito-Urinary Group,OTHER,SPONSOR,Olaparib Maintenance in Patients With MCRPC After Docetaxel Treatment Reaching Partial or Stable Response (IMANOL),Phase II Trial Evaluating Olaparib Maintenance in Patients With MCRPC After Docetaxel Treatment Reaching Partial or Stable Response.,COMPLETED,2018-02-06,ADULT OLDER_ADULT,Prostate Cancer Metastatic,TREATMENT,Olaparib,300 mg twice a day,INTERVENTIONAL,PHASE2,Radiographic progression free survival (rPFS),Prostatic Neoplasms,PHASE2,olaparib,COMPLETED,1
134671,Sun Yat-sen University,OTHER,PRINCIPAL_INVESTIGATOR,Phase II Study of Maintenance Capecitabine to Treat Resectable Colorectal Cancer,Phase II Clinical Trial: Capecitabine Maintenance Therapy in Colorectal Cancer Patients With Stage IIIC and R0-R1 Resected Stage IV,UNKNOWN,2013-06,ADULT OLDER_ADULT,Colorectal Neoplasms,TREATMENT,Capecitabine,"Capecitabine 1000mg/m2,po(orally) on day 1-14 of 21 day cycle. Number of cycles: 16 cycles (1 year)",INTERVENTIONAL,PHASE2,Disease-free Survival rate(DFS),Colorectal Neoplasms,PHASE2,capecitabine,RECRUITING,0
134671,Sun Yat-sen University,OTHER,PRINCIPAL_INVESTIGATOR,Phase II Study of Maintenance Capecitabine to Treat Resectable Colorectal Cancer,Phase II Clinical Trial: Capecitabine Maintenance Therapy in Colorectal Cancer Patients With Stage IIIC and R0-R1 Resected Stage IV,UNKNOWN,2013-06,ADULT OLDER_ADULT,Colorectal Neoplasms,TREATMENT,Capecitabine,"Capecitabine 1000mg/m2,po(orally) on day 1-14 of 21 day cycle. Number of cycles: 16 cycles (1 year)",INTERVENTIONAL,PHASE2,Disease-free Survival rate(DFS),Colorectal Neoplasms,PHASE2,capecitabine,COMPLETED,1
134671,Sun Yat-sen University,OTHER,PRINCIPAL_INVESTIGATOR,Phase II Study of Maintenance Capecitabine to Treat Resectable Colorectal Cancer,Phase II Clinical Trial: Capecitabine Maintenance Therapy in Colorectal Cancer Patients With Stage IIIC and R0-R1 Resected Stage IV,UNKNOWN,2013-06,ADULT OLDER_ADULT,Colorectal Neoplasms,TREATMENT,Capecitabine,"Capecitabine 1000mg/m2,po(orally) on day 1-14 of 21 day cycle. Number of cycles: 16 cycles (1 year)",INTERVENTIONAL,PHASE2,Disease-free Survival rate(DFS),Colorectal Neoplasms,PHASE2,capecitabine,UNKNOWN,0
134671,Sun Yat-sen University,OTHER,PRINCIPAL_INVESTIGATOR,Phase II Study of Maintenance Capecitabine to Treat Resectable Colorectal Cancer,Phase II Clinical Trial: Capecitabine Maintenance Therapy in Colorectal Cancer Patients With Stage IIIC and R0-R1 Resected Stage IV,UNKNOWN,2013-06,ADULT OLDER_ADULT,Colorectal Neoplasms,TREATMENT,Capecitabine,"Capecitabine 1000mg/m2,po(orally) on day 1-14 of 21 day cycle. Number of cycles: 16 cycles (1 year)",INTERVENTIONAL,PHASE2,Disease-free Survival rate(DFS),Colorectal Neoplasms,PHASE2,capecitabine,COMPLETED,1
134671,Sun Yat-sen University,OTHER,PRINCIPAL_INVESTIGATOR,Phase II Study of Maintenance Capecitabine to Treat Resectable Colorectal Cancer,Phase II Clinical Trial: Capecitabine Maintenance Therapy in Colorectal Cancer Patients With Stage IIIC and R0-R1 Resected Stage IV,UNKNOWN,2013-06,ADULT OLDER_ADULT,Colorectal Neoplasms,TREATMENT,Capecitabine,"Capecitabine 1000mg/m2,po(orally) on day 1-14 of 21 day cycle. Number of cycles: 16 cycles (1 year)",INTERVENTIONAL,PHASE2,Disease-free Survival rate(DFS),Colorectal Neoplasms,PHASE2,capecitabine,UNKNOWN,0
134671,Sun Yat-sen University,OTHER,PRINCIPAL_INVESTIGATOR,Phase II Study of Maintenance Capecitabine to Treat Resectable Colorectal Cancer,Phase II Clinical Trial: Capecitabine Maintenance Therapy in Colorectal Cancer Patients With Stage IIIC and R0-R1 Resected Stage IV,UNKNOWN,2013-06,ADULT OLDER_ADULT,Colorectal Neoplasms,TREATMENT,Capecitabine,"Capecitabine 1000mg/m2,po(orally) on day 1-14 of 21 day cycle. Number of cycles: 16 cycles (1 year)",INTERVENTIONAL,PHASE2,Disease-free Survival rate(DFS),Colorectal Neoplasms,PHASE2,capecitabine,RECRUITING,0
134671,Sun Yat-sen University,OTHER,PRINCIPAL_INVESTIGATOR,Phase II Study of Maintenance Capecitabine to Treat Resectable Colorectal Cancer,Phase II Clinical Trial: Capecitabine Maintenance Therapy in Colorectal Cancer Patients With Stage IIIC and R0-R1 Resected Stage IV,UNKNOWN,2013-06,ADULT OLDER_ADULT,Colorectal Neoplasms,TREATMENT,Capecitabine,"Capecitabine 1000mg/m2,po(orally) on day 1-14 of 21 day cycle. Number of cycles: 16 cycles (1 year)",INTERVENTIONAL,PHASE2,Disease-free Survival rate(DFS),Colorectal Neoplasms,PHASE2,capecitabine,COMPLETED,1
134671,Sun Yat-sen University,OTHER,PRINCIPAL_INVESTIGATOR,Phase II Study of Maintenance Capecitabine to Treat Resectable Colorectal Cancer,Phase II Clinical Trial: Capecitabine Maintenance Therapy in Colorectal Cancer Patients With Stage IIIC and R0-R1 Resected Stage IV,UNKNOWN,2013-06,ADULT OLDER_ADULT,Colorectal Neoplasms,TREATMENT,Capecitabine,"Capecitabine 1000mg/m2,po(orally) on day 1-14 of 21 day cycle. Number of cycles: 16 cycles (1 year)",INTERVENTIONAL,PHASE2,Disease-free Survival rate(DFS),Colorectal Neoplasms,PHASE2,capecitabine,UNKNOWN,0
134671,Sun Yat-sen University,OTHER,PRINCIPAL_INVESTIGATOR,Phase II Study of Maintenance Capecitabine to Treat Resectable Colorectal Cancer,Phase II Clinical Trial: Capecitabine Maintenance Therapy in Colorectal Cancer Patients With Stage IIIC and R0-R1 Resected Stage IV,UNKNOWN,2013-06,ADULT OLDER_ADULT,Colorectal Neoplasms,TREATMENT,Capecitabine,"Capecitabine 1000mg/m2,po(orally) on day 1-14 of 21 day cycle. Number of cycles: 16 cycles (1 year)",INTERVENTIONAL,PHASE2,Disease-free Survival rate(DFS),Colorectal Neoplasms,PHASE2,capecitabine,TERMINATED,0
134671,Sun Yat-sen University,OTHER,PRINCIPAL_INVESTIGATOR,Phase II Study of Maintenance Capecitabine to Treat Resectable Colorectal Cancer,Phase II Clinical Trial: Capecitabine Maintenance Therapy in Colorectal Cancer Patients With Stage IIIC and R0-R1 Resected Stage IV,UNKNOWN,2013-06,ADULT OLDER_ADULT,Colorectal Neoplasms,TREATMENT,Capecitabine,"Capecitabine 1000mg/m2,po(orally) on day 1-14 of 21 day cycle. Number of cycles: 16 cycles (1 year)",INTERVENTIONAL,PHASE2,Disease-free Survival rate(DFS),Colorectal Neoplasms,PHASE2,capecitabine,RECRUITING,0
134671,Sun Yat-sen University,OTHER,PRINCIPAL_INVESTIGATOR,Phase II Study of Maintenance Capecitabine to Treat Resectable Colorectal Cancer,Phase II Clinical Trial: Capecitabine Maintenance Therapy in Colorectal Cancer Patients With Stage IIIC and R0-R1 Resected Stage IV,UNKNOWN,2013-06,ADULT OLDER_ADULT,Colorectal Neoplasms,TREATMENT,Capecitabine,"Capecitabine 1000mg/m2,po(orally) on day 1-14 of 21 day cycle. Number of cycles: 16 cycles (1 year)",INTERVENTIONAL,PHASE2,Disease-free Survival rate(DFS),Colorectal Neoplasms,PHASE2,capecitabine,UNKNOWN,0
134671,Sun Yat-sen University,OTHER,PRINCIPAL_INVESTIGATOR,Phase II Study of Maintenance Capecitabine to Treat Resectable Colorectal Cancer,Phase II Clinical Trial: Capecitabine Maintenance Therapy in Colorectal Cancer Patients With Stage IIIC and R0-R1 Resected Stage IV,UNKNOWN,2013-06,ADULT OLDER_ADULT,Colorectal Neoplasms,TREATMENT,Capecitabine,"Capecitabine 1000mg/m2,po(orally) on day 1-14 of 21 day cycle. Number of cycles: 16 cycles (1 year)",INTERVENTIONAL,PHASE2,Disease-free Survival rate(DFS),Colorectal Neoplasms,PHASE2,capecitabine,RECRUITING,0
134753,ChineseAMS,UNKNOWN,PRINCIPAL_INVESTIGATOR,"Study of Etoposide, Cisplatin, and Radiotherapy Versus Paclitaxel, Carboplatin and Radiotherapy to Treat Non-Small Cell Lung Cancer","Phase 3 Study of Etoposide, Cisplatin, and Radiotherapy Versus Paclitaxel, Carboplatin and Radiotherapy in Patients With Unresectable Locally Advanced, Stage III Non-Small Cell Lung Cancer",COMPLETED,2007-05,ADULT OLDER_ADULT,Non-Small Cell Lung Cancer,TREATMENT,Chemoradiotherapy Regimen between PC and PE,"etoposide 50mg/m2 d1-5, 29-33 and cisplatin 50mg/m2 d1,8,29 and 36 29-33 during radiotherapy paclitaxel 45mg/m2 weekly and carbplatin AUC =2mg/mL/min weekly during radiotherapy",INTERVENTIONAL,"PHASE2, PHASE3",Overall Survival,"Lung Neoplasms Carcinoma, Non-Small-Cell Lung","PHASE2, PHASE3",chemoradiotherapy regimen between pc and pe,COMPLETED,1
134767,Dana-Farber Cancer Institute,OTHER,PRINCIPAL_INVESTIGATOR,Nivolumab Plus Ipilimumab in Thyroid Cancer,"A Phase 2 Study of Nivolumab Plus Ipilimumab in RAI Refractory, Aggressive Thyroid Cancer With Exploratory Cohorts in Medullary and Anaplastic Thyroid Cancer",ACTIVE_NOT_RECRUITING,2017-10-03,ADULT OLDER_ADULT,Thyroid Cancer,TREATMENT,"Nivolumab, Ipilimumab","Ipilimumab are types of immunotherapy Immunotherapy works by encouraging the body's own immune system to attack cancer cells., Nivolumab are types of immunotherapy. Immunotherapy works by encouraging the body's own immune system to attack cancer cells.",INTERVENTIONAL,PHASE2,Best Overall Response Rate,Thyroid Neoplasms Thyroid Diseases,PHASE2,"nivolumab, ipilimumab",WITHDRAWN,0
134770,UNICANCER,OTHER,SPONSOR,Combination Chemotherapy as First-Line Therapy in Treating Patients With Metastatic Pancreatic Cancer,Randomized Phase II/III Trial Comparing Folririnox Association [Oxaliplatin / Irinotecan / LV5FU2] Versus Gemcitabine in First Line of Chemotherapy in Metastatics Pancreas Cancers Patients,COMPLETED,2004-11,ADULT OLDER_ADULT,Pancreatic Cancer,TREATMENT,"fluorouracil, gemcitabine hydrochloride, irinotecan hydrochloride, leucovorin calcium, oxaliplatin","Unknown, Unknown, Unknown, Unknown, Unknown",INTERVENTIONAL,"PHASE2, PHASE3",Objective response rate (Phase II) Survival (Phase III),Pancreatic Neoplasms,"PHASE2, PHASE3","fluorouracil, gemcitabine hydrochloride, irinotecan hydrochloride, leucovorin calcium, oxaliplatin",COMPLETED,1
134975,Amgen,INDUSTRY,SPONSOR,A Study of Weekly Carfilzomib in Combination With Dexamethasone for Progressive Multiple Myeloma,A Phase 1/2 Study of Weekly Carfilzomib in Combination With Dexamethasone for Progressive Multiple Myeloma,COMPLETED,2012-07-04,ADULT OLDER_ADULT,Multiple Myeloma,TREATMENT,"Carfilzomib, Dexamethasone","Carfilzomib was administered as a 30-minute IV infusion on days 1, 8, and 15 of each 28-day treatment cycle., Dexamethasone was administered at a dose of 40 mg IV or orally (PO) on days 1, 8, 15, and 22 for the first 8 cycles; starting with cycle 9 dexamethasone was administered on days 1, 8, and 15.",INTERVENTIONAL,"PHASE1, PHASE2",Phase 1: Number of Participants With Dose-limiting Toxicities (DLTs) Overall Response Rate (ORR),"Multiple Myeloma Neoplasms, Plasma Cell","PHASE1, PHASE2","carfilzomib, dexamethasone",COMPLETED,1
